learning_rate,num_leaves,min_child_samples,reg_alpha,reg_lambda,val_rmse,val_mae,val_r2,val_pearson,stage
0.1,63,20,1,1,1.019757388596532,0.7397583635449947,0.45931488521393027,0.6873110518492858,coarse
0.1,63,50,0,0,0.995941164043763,0.731320978446437,0.4842751502534961,0.7038331796046803,coarse
0.1,63,50,0,1,1.0182013615133656,0.7442455466569151,0.4609636671975751,0.6888243430042293,coarse
0.1,63,50,1,0,1.019020099401547,0.7482883009691019,0.4600964381357333,0.6877354702743452,coarse
0.1,63,50,1,1,1.004641169161533,0.7343838877237068,0.4752256076370136,0.6980993418497056,coarse
0.04,47,40,0,1,1.003975480366201,0.7403211457580057,0.4759208224187199,0.6974721902872324,fine
0.04,47,50,0,1,1.0100103395512487,0.7430359552077986,0.4696014457629931,0.6941013655833129,fine
0.04,47,60,0,1,1.00537154946915,0.7424562221264637,0.4744623018535632,0.6977748283502451,fine
0.04,63,40,0,1,0.9979439445682253,0.7395608490270124,0.4821988785674004,0.7013531106255232,fine
0.04,63,50,0,1,0.9938744668807817,0.7290113040980373,0.48641331110502384,0.7051484277595224,fine
0.04,63,60,0,1,1.0088862194821704,0.7410091311859077,0.4707814334116388,0.6940333583821195,fine
0.04,79,40,0,1,0.9995021314786886,0.7358170197213273,0.48058062971520055,0.7007285472130891,fine
0.04,79,50,0,1,0.9885027918928184,0.7263276997053233,0.4919499567276453,0.7074437557194896,fine
0.04,79,60,0,1,1.0021981025797013,0.7382188784114111,0.47777477639031507,0.6980977242263903,fine
0.05,47,40,0,1,1.0119244692816878,0.7469808017786735,0.4675891620600109,0.6933874274134515,fine
0.05,47,50,0,1,1.0079730615150184,0.74121199955708,0.4717390070966224,0.6959021875529983,fine
0.05,47,60,0,1,1.008773004365128,0.74429775796751,0.47090020236496877,0.6948909920345118,fine
0.05,63,40,0,1,1.0025561338246034,0.7397129201788032,0.4774015840162448,0.6984186595103894,fine
0.05,63,50,0,1,0.9902032573160947,0.7234839380788649,0.49020051379913687,0.7067876274334803,fine
0.05,63,60,0,1,1.00468407373926,0.7380412377797072,0.47518078426092847,0.6966974421864331,fine
0.05,79,40,0,1,1.0002239060760365,0.733369407404221,0.4798301779444428,0.700040926568262,fine
0.05,79,50,0,1,0.9976123687556779,0.7319987532714659,0.48254290952362167,0.7008404057791486,fine
0.05,79,60,0,1,1.0077994573343056,0.7422210125299776,0.47192095723570926,0.694535790282767,fine
0.06,47,40,0,1,1.0073472505420464,0.7428694770210664,0.4723947565663428,0.6956767355518076,fine
0.06,47,50,0,1,1.006284363904074,0.7423001140593997,0.47350755795941524,0.6958130376646641,fine
0.06,47,60,0,1,1.0108880733574823,0.7464488405210773,0.4686791759355544,0.6941928386652174,fine
0.06,63,40,0,1,0.9994531011200486,0.733044912347552,0.4806315884726873,0.7010246763171754,fine
0.06,63,50,0,1,1.0056982377992694,0.7382743153234957,0.4741207068932668,0.69679177384141,fine
0.06,63,60,0,1,1.0026053515526585,0.7330346866327404,0.4773502717012422,0.699180170022696,fine
0.06,79,40,0,1,0.9984799764892355,0.7342286285872172,0.4816424696136631,0.7012368332549642,fine
0.06,79,50,0,1,0.9961139904538061,0.7325007787147256,0.484096146490938,0.702682795982821,fine
0.06,79,60,0,1,1.0059056523375178,0.7414181989457799,0.47390377053117916,0.6963626438801325,fine
